2022-06-21/11:52:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/11:52:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/11:57:51		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/11:57:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/12:06:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/12:06:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/12:10:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/12:10:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/12:12:33		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/12:12:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/12:17:01		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/12:17:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/12:19:20		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-21/12:19:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-21/12:25:46		Data Transformation failed because:: Can only use .str accessor with string values!
2022-06-21/12:34:45		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-17/04:04:19		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-18/03:06:52		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-18/03:14:14		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-18/03:20:08		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-18/03:38:53		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-18/05:30:22		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-19/01:45:40		Data Transformation failed because:: Can only use .str accessor with string values!
2022-09-20/22:14:26		Data Transformation failed because:: Can only use .str accessor with string values!
